property_name,society,bedRoom,bathroom,balcony,additionalRoom,facing,agePossession,sector,price in crore,SuperBuildUp_adjusted_area,adjusted_price_per_sqft,Others,Pooja Room,Servant Room,Store Room,Study Room,unavailable,floor,furnish_score,furnish_category,features_score,features_category,rating_sum
4 BHK Flat,Raheja Atharva36 ,4.0,1.0,No,unavailable,unavailable,newly built,Sector 109 Gurgaon,1.6,3308.8,4835.58994197292,0,0,0,0,0,1,0.0,-1.0,Unavailable,0.0,Minimal,25.0
2 BHK Flat,Greenopolis,2.0,2.0,2,unavailable,unavailable,under construction,Sector 89 Gurgaon,0.65,1787.1428571428573,3637.0903277378093,0,0,0,0,0,1,15.0,-1.0,Unavailable,11.0,Basic,20.0
2 BHK Flat,Breez Global Hill View,2.0,2.0,2,unavailable,North,new,Sohna,0.32,791.4285714285714,4043.321299638989,0,0,0,0,0,1,19.0,34.0,Fancy,6.5,Minimal,20.0
2 BHK Flat,Satya The Hermitage35 ,2.0,2.0,No,unavailable,unavailable,unknown,Sector 103 Gurgaon,0.8,1595.0000000000002,5015.673981191222,0,0,1,0,1,0,10.0,28.0,Medium,0.0,Minimal,25.0
4 BHK Flat,Sahara Grace,4.0,5.0,3+,"Servant Room,Others",East,mid-age,Chakkarpur,5.5,4140.400000000001,13283.740701381508,0,0,0,0,0,1,5.0,55.5,Fancy,3.0,Minimal,19.5
2 BHK Flat,Imperia The Esfera,2.0,2.0,No,Servant Room,unavailable,under construction,Sector 37C Gurgaon,0.95,1735.8000000000002,5472.98075815186,0,0,0,0,0,1,17.0,-1.0,Unavailable,0.0,Minimal,20.0
2 BHK Flat,Alpha Corp GurgaonOne 8440 ,2.0,2.0,1,unavailable,South-West,new,Sector 84 Gurgaon,1.2,1397.0,8589.835361488906,0,0,0,0,0,1,6.0,-1.0,Unavailable,6.0,Minimal,25.0
2 BHK Flat,Smart World Orchard,2.0,2.0,1,Study Room,unavailable,under construction,Sector 61 Gurgaon,1.55,1265.0,12252.96442687747,0,0,0,0,0,1,3.0,34.5,Fancy,16.5,Basic,0.0
4 BHK Flat,The Ivy,4.0,5.0,3,unavailable,North-East,unknown,Sushant Lok,6.0,4186.6,14331.438398700615,0,0,0,0,0,1,2.0,-1.0,Unavailable,0.0,Minimal,20.0
2 BHK Flat,HCBS Sports Ville36 ,2.0,2.0,2,unavailable,unavailable,unknown,Sohna,0.3,1061.4285714285716,2826.3795423956926,0,0,0,0,0,1,3.0,-1.0,Unavailable,0.0,Minimal,25.0
